Date,Open,High,Low,Close,AdjClose,Volume
2021-01-13,57.220001,57.250000,56.880001,57.060001,56.452652,16985400
2021-01-14,56.889999,57.430000,56.660000,57.040001,56.432861,18341100
2021-01-15,56.779999,57.500000,56.709999,57.380001,56.769245,15785300
2021-01-19,57.439999,57.580002,56.980000,57.049999,56.442753,18821300
2021-01-20,57.009998,57.389999,56.660000,57.259998,56.650520,19923100
2021-01-21,57.189999,57.509998,57.049999,57.270000,56.660416,13601500
2021-01-22,57.169998,57.689999,56.759998,57.470001,56.858288,16364500
2021-01-25,57.470001,58.619999,57.180000,58.419998,57.798172,22444300
2021-01-26,56.990002,57.279999,56.410000,56.570000,55.967865,37892700
2021-01-27,56.639999,56.959999,55.060001,55.130001,54.543194,37239000
2021-01-28,55.000000,56.330002,55.000000,55.369999,54.780636,24000800
2021-01-29,55.000000,55.270000,54.480000,54.750000,54.167236,26231200
2021-02-01,55.270000,55.270000,54.220001,54.279999,53.702240,20541100
2021-02-02,54.430000,55.169998,54.169998,54.500000,53.919899,18974500
2021-02-03,54.310001,54.900002,54.250000,54.790001,54.206810,13909300
2021-02-04,54.759998,55.369999,54.590000,55.139999,54.553085,14761700
2021-02-05,55.200001,55.680000,55.169998,55.320000,54.731171,12069500
2021-02-08,55.369999,55.480000,54.790001,55.049999,54.464043,17887700
2021-02-09,55.020000,55.299999,54.680000,55.000000,54.414577,19605600
2021-02-10,55.220001,55.439999,54.919998,54.959999,54.375000,16232800
2021-02-11,55.020000,55.060001,54.480000,54.599998,54.018833,17398800
2021-02-12,54.419998,54.680000,54.180000,54.200001,53.623093,18357300
2021-02-16,54.110001,54.320000,53.830002,54.150002,53.573624,22095700
2021-02-17,56.000000,57.250000,55.630001,56.990002,56.383396,40531300
2021-02-18,56.939999,57.610001,56.529999,56.980000,56.373501,20759900
2021-02-19,57.330002,57.400002,56.349998,56.450001,55.849144,18689400
2021-02-22,56.529999,56.840000,56.150002,56.450001,55.849144,17854900
2021-02-23,56.810001,57.529999,56.290001,57.029999,56.422966,21062000
2021-02-24,57.080002,57.419998,56.669998,57.119999,56.512009,17136900
2021-02-25,56.119999,56.860001,55.740002,56.500000,55.898609,24165300
2021-02-26,56.470001,56.610001,55.290001,55.299999,54.711380,23935200
2021-03-01,55.490002,55.950001,55.279999,55.360001,54.770744,20550400
2021-03-02,55.310001,55.520000,54.919998,54.980000,54.394787,17184600
2021-03-03,54.560001,55.970001,54.400002,55.380001,54.790531,22838700
2021-03-04,55.549999,55.619999,54.529999,54.799999,54.216705,23692000
2021-03-05,54.950001,56.200001,54.919998,56.000000,55.403931,23598100
2021-03-08,55.950001,57.299999,55.820000,56.790001,56.185524,23648800
2021-03-09,56.900002,57.099998,56.169998,56.200001,55.601803,20956400
2021-03-10,56.689999,57.290001,55.849998,57.080002,56.472439,18848600
